,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
204,2023-10-20,106.18745594827371,99.09406795395402,114.28961923391789,106.18745594827371,106.18745594827371,0.8206646072948098,0.8206646072948098,0.8206646072948098,0.8206646072948098,0.8206646072948098,0.8206646072948098,0.0,0.0,0.0,107.00812055556852
205,2023-10-23,107.4939261110087,100.36333497519327,116.05852699952835,107.4939261110087,107.4939261110087,0.22808285217697663,0.22808285217697663,0.22808285217697663,0.22808285217697663,0.22808285217697663,0.22808285217697663,0.0,0.0,0.0,107.72200896318569
206,2023-10-24,107.9294161652537,101.37151176668586,117.1433338467454,107.9294161652537,107.9294161652537,0.9219417968492789,0.9219417968492789,0.9219417968492789,0.9219417968492789,0.9219417968492789,0.9219417968492789,0.0,0.0,0.0,108.85135796210298
207,2023-10-25,108.3649062194987,101.37661004758854,117.2195043619533,108.3649062194987,108.3649062194987,0.39542300760585297,0.39542300760585297,0.39542300760585297,0.39542300760585297,0.39542300760585297,0.39542300760585297,0.0,0.0,0.0,108.76032922710456
208,2023-10-26,108.80039627374371,101.24382129911113,117.32592313102967,108.80039627374371,108.80039627374371,0.6074350468573148,0.6074350468573148,0.6074350468573148,0.6074350468573148,0.6074350468573148,0.6074350468573148,0.0,0.0,0.0,109.40783132060103
209,2023-10-27,109.23588632798872,102.06043015899719,117.81493290061582,109.23588632798872,109.23588632798872,0.8206646072938939,0.8206646072938939,0.8206646072938939,0.8206646072938939,0.8206646072938939,0.8206646072938939,0.0,0.0,0.0,110.05655093528262
210,2023-10-30,110.54235649072372,102.72968619973875,118.45592081986916,110.54235649072372,110.54235649072372,0.22808285217860222,0.22808285217860222,0.22808285217860222,0.22808285217860222,0.22808285217860222,0.22808285217860222,0.0,0.0,0.0,110.77043934290232
211,2023-10-31,110.97784654496873,105.22973307800379,119.72240678098466,110.97784654496873,110.97784654496873,0.9219417968500152,0.9219417968500152,0.9219417968500152,0.9219417968500152,0.9219417968500152,0.9219417968500152,0.0,0.0,0.0,111.89978834181875
212,2023-11-01,111.41333659921371,104.34623730476632,119.29140300224066,111.41333659921371,111.41333659921371,0.3954230076072335,0.3954230076072335,0.3954230076072335,0.3954230076072335,0.3954230076072335,0.3954230076072335,0.0,0.0,0.0,111.80875960682094
213,2023-11-02,111.84882665345872,104.1951343949872,120.23316578714012,111.84882665345872,111.84882665345872,0.6074350468568407,0.6074350468568407,0.6074350468568407,0.6074350468568407,0.6074350468568407,0.6074350468568407,0.0,0.0,0.0,112.45626170031555
